level_1_description,eo_main_class_id,eo_main_class_descr,eo_class_code,eo_class_description,constr_type,eo_model_id,eo_model_name,head_eo_model_id,head_eo_model_descr,component_class_id,component_class_descr,eo_description,eo_code,teh_mesto,teh_mesto_description,level_upper,sap_operation_status,operation_start_date,operation_finish_date,strategy_id,head_type,interval_between_overhaul
Полюс Вернинское,E01_01,Самосвалы карьерные,E01_01,Самосвалы карьерные,960000001,65,Самосвалы CAT 785C,65,Самосвалы CAT 785C,,,Самосвал карьерный 785C №1619,100000008673,03-CTT-CC01,Самосвал №1619,03-CTT-C785,,2017-12-12,2030-01-01,4,head,
Полюс Вернинское,E01_01,Самосвалы карьерные,E45_03,Компьютеры промышленные бортовые,960001958,0,no_data,65,Самосвалы CAT 785C,,,Компьютер промышл. бортовой Trax-10 LP,100000010272,03-CTT-CC01,Самосвал №1619,03-CTT-C785,,2019-03-01,2030-01-01,0,component,
Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002408,0,no_data,65,Самосвалы CAT 785C,"1,0",ДВС,ДВС 3512B №EEE00297,100000073096,03-CTT-CC01,Самосвал №1619,03-CTT-C785,,2021-03-10,2030-01-01,0,component,"20000,0"
Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002400,0,no_data,65,Самосвалы CAT 785C,,,Редуктор бортовой правый,100000009813,03-CTT-CC01,Самосвал №1619,03-CTT-C785,,2017-12-12,2030-01-01,0,component,
Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002400,0,no_data,65,Самосвалы CAT 785C,,,Редуктор бортовой левый,100000009814,03-CTT-CC01,Самосвал №1619,03-CTT-C785,,2017-12-12,2030-01-01,0,component,
Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002400,0,no_data,65,Самосвалы CAT 785C,,,Дифференциал,100000009815,03-CTT-CC01,Самосвал №1619,03-CTT-C785,,2017-12-12,2030-01-01,0,component,
Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002400,0,no_data,65,Самосвалы CAT 785C,,,Кузов,100000010306,03-CTT-CC01,Самосвал №1619,03-CTT-C785,,2017-12-12,2030-01-01,0,component,
Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002400,0,no_data,65,Самосвалы CAT 785C,,,Коробка передач,100000009812,03-CTT-CC01,Самосвал №1619,03-CTT-C785,,2017-12-12,2030-01-01,0,component,
Полюс Вернинское,E01_01,Самосвалы карьерные,E01_01,Самосвалы карьерные,960000001,65,Самосвалы CAT 785C,65,Самосвалы CAT 785C,,,Самосвал карьерный 785C №1620,100000008674,03-CTT-CC02,Самосвал №1620,03-CTT-C785,,2017-12-12,2030-01-01,4,head,
Полюс Вернинское,E01_01,Самосвалы карьерные,E45_03,Компьютеры промышленные бортовые,960001958,0,no_data,65,Самосвалы CAT 785C,,,Компьютер промышл. бортовой Trax-10 LP,100000009440,03-CTT-CC02,Самосвал №1620,03-CTT-C785,,2017-12-17,2030-01-01,0,component,
