Документ измерений,Дата,Момент измерений,Показания счетчика,ЕдиницаИзмерПризнака,Единица оборудования
32935682,2022-05-19,19:00:00,"33295,060",МТЧ,100000008674
32935448,2022-05-19,19:00:00,"33999,660",МТЧ,100000008673
32926680,2022-05-19,7:30:00,"44929,256",МТЧ,100000065981
32926713,2022-05-19,7:30:00,"561815,518",км,100000065981
32926702,2022-05-19,7:30:00,"45523,341",МТЧ,100000065980
32926687,2022-05-19,7:30:00,"564146,929",км,100000065980
32926666,2022-05-19,7:30:00,"44831,342",МТЧ,100000065979
32926651,2022-05-19,7:30:00,"559171,824",км,100000065979
32926638,2022-05-19,7:30:00,"44976,167",МТЧ,100000065978
32926623,2022-05-19,7:30:00,"551752,448",км,100000065978
32926549,2022-05-19,7:30:00,"44014,734",МТЧ,100000065977
32926603,2022-05-19,7:30:00,"551110,946",км,100000065977
32925900,2022-05-19,7:30:00,"63720,287",МТЧ,100000065635
32925953,2022-05-19,7:30:00,"834923,562",км,100000065635
32925935,2022-05-19,7:30:00,"60332,064",МТЧ,100000065636
32925916,2022-05-19,7:30:00,"830011,746",км,100000065636
32925904,2022-05-19,7:30:00,"62330,952",МТЧ,100000065634
32925887,2022-05-19,7:30:00,"845447,510",км,100000065634
32925869,2022-05-19,7:30:00,"60462,802",МТЧ,100000065633
32925790,2022-05-19,7:30:00,"837758,970",км,100000065633
32925838,2022-05-19,7:30:00,"59659,581",МТЧ,100000065631
32925822,2022-05-19,7:30:00,"817263,902",км,100000065631
32925814,2022-05-19,7:30:00,"63259,691",МТЧ,100000065629
32925802,2022-05-19,7:30:00,"875610,579",км,100000065629
32925794,2022-05-19,7:30:00,"60901,438",МТЧ,100000065632
32925775,2022-05-19,7:30:00,"826395,167",км,100000065632
32925649,2022-05-19,7:30:00,"62879,611",МТЧ,100000065630
32925748,2022-05-19,7:30:00,"862290,510",км,100000065630
32925620,2022-05-19,7:30:00,"56296,843",МТЧ,100000065628
32925714,2022-05-19,7:30:00,"782974,151",км,100000065628
32925679,2022-05-19,7:30:00,"63879,944",МТЧ,100000065627
32925658,2022-05-19,7:30:00,"883853,819",км,100000065627
32925635,2022-05-19,7:30:00,"62417,845",МТЧ,100000065625
32925624,2022-05-19,7:30:00,"853320,606",км,100000065625
32925605,2022-05-19,7:30:00,"66509,338",МТЧ,100000065623
32925591,2022-05-19,7:30:00,"907627,663",км,100000065623
32925509,2022-05-19,7:30:00,"64850,752",МТЧ,100000065624
32925490,2022-05-19,7:30:00,"897592,810",км,100000065624
32925564,2022-05-19,7:30:00,"65087,074",МТЧ,100000065626
32925549,2022-05-19,7:30:00,"914700,385",км,100000065626
32925533,2022-05-19,7:30:00,"72038,379",МТЧ,100000065643
32925517,2022-05-19,7:30:00,"997669,840",км,100000065643
32925495,2022-05-19,7:30:00,"73111,119",МТЧ,100000065638
32925476,2022-05-19,7:30:00,"1008322,327",км,100000065638
32925419,2022-05-19,7:30:00,"75047,550",МТЧ,100000065639
32925454,2022-05-19,7:30:00,"1047009,875",км,100000065639
32925442,2022-05-19,7:30:00,"75177,542",МТЧ,100000065637
32925432,2022-05-19,7:30:00,"1051598,750",км,100000065637
32925390,2022-05-19,7:30:00,"73362,480",МТЧ,100000065640
32925406,2022-05-19,7:30:00,"1014774,316",км,100000065640
32925392,2022-05-19,7:30:00,"85196,174",МТЧ,100000065622
32925368,2022-05-19,7:30:00,"1130740,937",км,100000065622
32925346,2022-05-19,7:30:00,"87304,915",МТЧ,100000065620
32925327,2022-05-19,7:30:00,"1174363,833",км,100000065620
32925313,2022-05-19,7:30:00,"82780,578",МТЧ,100000065619
32925302,2022-05-19,7:30:00,"1083420,074",км,100000065619
32925287,2022-05-19,7:30:00,"86077,366",МТЧ,100000065618
32925273,2022-05-19,7:30:00,"1161424,316",км,100000065618
32925148,2022-05-19,7:30:00,"85768,927",МТЧ,100000065617
32925253,2022-05-19,7:30:00,"1138217,078",км,100000065617
32925242,2022-05-19,7:30:00,"89048,709",МТЧ,100000065616
32925168,2022-05-19,7:30:00,"1172876,629",км,100000065616
32925221,2022-05-19,7:30:00,"87599,684",МТЧ,100000065614
32925207,2022-05-19,7:30:00,"1137593,838",км,100000065614
32925194,2022-05-19,7:30:00,"88097,911",МТЧ,100000065613
32925179,2022-05-19,7:30:00,"1183369,942",км,100000065613
32925155,2022-05-19,7:30:00,"89838,338",МТЧ,100000065612
32925135,2022-05-19,7:30:00,"1195906,282",км,100000065612
32925060,2022-05-19,7:30:00,"88068,565",МТЧ,100000065611
32925107,2022-05-19,7:30:00,"1142055,540",км,100000065611
32925075,2022-05-19,7:30:00,"84979,855",МТЧ,100000065609
32924960,2022-05-19,7:30:00,"1177859,635",км,100000065609
32925045,2022-05-19,7:30:00,"86916,973",МТЧ,100000065608
32924979,2022-05-19,7:30:00,"1124437,888",км,100000065608
32925021,2022-05-19,7:30:00,"86646,466",МТЧ,100000065607
32925012,2022-05-19,7:30:00,"1140319,543",км,100000065607
32924994,2022-05-19,7:30:00,"91955,406",МТЧ,100000065606
32924982,2022-05-19,7:30:00,"1220914,637",км,100000065606
32924969,2022-05-19,7:30:00,"54404,655",МТЧ,100000062385
32924947,2022-05-19,7:30:00,"739750,575",км,100000062385
32924927,2022-05-19,7:30:00,"58132,148",МТЧ,100000062387
32924885,2022-05-19,7:30:00,"745386,550",км,100000062387
32924859,2022-05-19,7:30:00,"60946,187",МТЧ,100000062388
32924842,2022-05-19,7:30:00,"787606,686",км,100000062388
32924832,2022-05-19,7:30:00,"58089,130",МТЧ,100000062389
32924823,2022-05-19,7:30:00,"763363,518",км,100000062389
32924802,2022-05-19,7:30:00,"58058,284",МТЧ,100000062386
32924708,2022-05-19,7:30:00,"750590,518",км,100000062386
32924783,2022-05-19,7:30:00,"63850,404",МТЧ,100000062399
32924767,2022-05-19,7:30:00,"801301,298",км,100000062399
32924747,2022-05-19,7:30:00,"62090,017",МТЧ,100000062398
32924731,2022-05-19,7:30:00,"799142,700",км,100000062398
32924697,2022-05-19,7:30:00,"64766,081",МТЧ,100000062397
32924681,2022-05-19,7:30:00,"841065,108",км,100000062397
32924673,2022-05-19,7:30:00,"64479,328",МТЧ,100000062396
32924579,2022-05-19,7:30:00,"819584,018",км,100000062396
32924647,2022-05-19,7:30:00,"64409,222",МТЧ,100000062395
32924633,2022-05-19,7:30:00,"838509,485",км,100000062395
32924617,2022-05-19,7:30:00,"68367,601",МТЧ,100000062390
32924604,2022-05-19,7:30:00,"890143,361",км,100000062390
32924592,2022-05-19,7:30:00,"66599,304",МТЧ,100000062392
32924489,2022-05-19,7:30:00,"847518,426",км,100000062392
32924567,2022-05-19,7:30:00,"61909,490",МТЧ,100000062393
32924551,2022-05-19,7:30:00,"799908,056",км,100000062393
32924510,2022-05-19,7:30:00,"66673,496",МТЧ,100000062391
32924527,2022-05-19,7:30:00,"842505,584",км,100000062391
32924512,2022-05-19,7:30:00,"81875,010",МТЧ,100000062384
32924496,2022-05-19,7:30:00,"1007827,935",км,100000062384
32924409,2022-05-19,7:30:00,"83221,532",МТЧ,100000062383
32924472,2022-05-19,7:30:00,"1061389,102",км,100000062383
32924461,2022-05-19,7:30:00,"82635,882",МТЧ,100000062382
32924444,2022-05-19,7:30:00,"1086674,727",км,100000062382
32924428,2022-05-19,7:30:00,"83624,625",МТЧ,100000062381
32924412,2022-05-19,7:30:00,"1053512,037",км,100000062381
32924396,2022-05-19,7:30:00,"85732,857",МТЧ,100000065976
32924309,2022-05-19,7:30:00,"1110588,233",км,100000065976
32924372,2022-05-19,7:30:00,"81660,078",МТЧ,100000065975
32924098,2022-05-19,7:30:00,"1036243,863",км,100000065975
32924336,2022-05-19,7:30:00,"82574,652",МТЧ,100000062380
32924322,2022-05-19,7:30:00,"1048651,597",км,100000062380
32924311,2022-05-19,7:30:00,"82415,523",МТЧ,100000065967
32924295,2022-05-19,7:30:00,"1060806,352",км,100000065967
32924277,2022-05-19,7:30:00,"84786,628",МТЧ,100000065974
32924262,2022-05-19,7:30:00,"1050729,845",км,100000065974
32924246,2022-05-19,7:30:00,"85379,154",МТЧ,100000065972
32924228,2022-05-19,7:30:00,"1098538,971",км,100000065972
32924120,2022-05-19,7:30:00,"85183,743",МТЧ,100000065971
32924202,2022-05-19,7:30:00,"1063746,155",км,100000065971
32924187,2022-05-19,7:30:00,"87320,077",МТЧ,100000065970
32924167,2022-05-19,7:30:00,"1133128,977",км,100000065970
32924137,2022-05-19,7:30:00,"82232,426",МТЧ,100000065969
32924123,2022-05-19,7:30:00,"1069273,742",км,100000065969
32924105,2022-05-19,7:30:00,"85028,031",МТЧ,100000065968
32924085,2022-05-19,7:30:00,"1106289,965",км,100000065968
32924071,2022-05-19,7:30:00,"97209,336",МТЧ,100000062376
32924062,2022-05-19,7:30:00,"1222716,874",км,100000062376
32924042,2022-05-19,7:30:00,"98696,832",МТЧ,100000062377
32924028,2022-05-19,7:30:00,"1245908,710",км,100000062377
32924013,2022-05-19,7:30:00,"97885,609",МТЧ,100000062379
32923976,2022-05-19,7:30:00,"1249144,799",км,100000062379
32923948,2022-05-19,7:30:00,"98977,746",МТЧ,100000062373
32923886,2022-05-19,7:30:00,"1248127,472",км,100000062373
32923939,2022-05-19,7:30:00,"99081,256",МТЧ,100000062372
32923914,2022-05-19,7:30:00,"1228464,525",км,100000062372
32923894,2022-05-19,7:30:00,"99847,251",МТЧ,100000062371
32923873,2022-05-19,7:30:00,"1244085,697",км,100000062371
32923862,2022-05-19,7:30:00,"103598,903",МТЧ,100000062370
32923849,2022-05-19,7:30:00,"1248688,576",км,100000062370
32923828,2022-05-19,7:30:00,"100076,961",МТЧ,100000062369
32923811,2022-05-19,7:30:00,"1251451,598",км,100000062369
32923785,2022-05-19,7:30:00,"98896,519",МТЧ,100000028868
32923685,2022-05-19,7:30:00,"1233507,319",км,100000028868
32921498,2022-05-18,19:30:00,"64839,971",МТЧ,100000065624
32921478,2022-05-18,19:30:00,"99069,326",МТЧ,100000062372
32919909,2022-05-18,19:00:00,"394869,000",км,100000008673
32919713,2022-05-18,19:00:00,"410404,000",км,100000008674
32919691,2022-05-19,7:00:00,"33994,460",МТЧ,100000008673
32919674,2022-05-18,19:00:00,"33983,070",МТЧ,100000008673
32919492,2022-05-19,7:00:00,"33283,370",МТЧ,100000008674
32919166,2022-05-18,19:00:00,"33271,670",МТЧ,100000008674
32912310,2022-05-18,19:30:00,"44918,096",МТЧ,100000065981
32912326,2022-05-18,19:30:00,"561673,896",км,100000065981
32912311,2022-05-18,19:30:00,"45512,520",МТЧ,100000065980
32912295,2022-05-18,19:30:00,"564004,020",км,100000065980
32912274,2022-05-18,19:30:00,"44819,652",МТЧ,100000065979
32912256,2022-05-18,19:30:00,"559019,741",км,100000065979
32912235,2022-05-18,19:30:00,"44964,727",МТЧ,100000065978
32912210,2022-05-18,19:30:00,"551603,101",км,100000065978
32912214,2022-05-18,19:30:00,"44005,324",МТЧ,100000065977
32912196,2022-05-18,19:30:00,"551015,029",км,100000065977
32911475,2022-05-18,19:30:00,"63708,287",МТЧ,100000065635
32911379,2022-05-18,19:30:00,"834767,778",км,100000065635
32911444,2022-05-18,19:30:00,"60325,194",МТЧ,100000065636
32911277,2022-05-18,19:30:00,"829839,064",км,100000065636
32911413,2022-05-18,19:30:00,"62320,067",МТЧ,100000065634
32911397,2022-05-18,19:30:00,"845250,044",км,100000065634
32911382,2022-05-18,19:30:00,"60452,028",МТЧ,100000065633
32911366,2022-05-18,19:30:00,"837567,780",км,100000065633
32911347,2022-05-18,19:30:00,"59648,581",МТЧ,100000065631
