,level_1_description,eo_main_class_id,eo_main_class_descr,eo_class_code,eo_class_description,constr_type,eo_model_id,eo_model_name,head_eo_model_id,head_eo_model_descr,component_class_id,component_class_descr,eo_description,eo_code,teh_mesto,teh_mesto_description,level_upper,sap_operation_status,operation_start_date,operation_finish_date,strategy_id,head_type,interval_between_overhaul
2,Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002408,0,no_data,65,Самосвалы CAT 785C,1.0,ДВС,ДВС 3512B №EEE00297,100000073096,03-CTT-CC01,Самосвал №1619,03-CTT-C785,,2021-03-10,2030-01-01,0,component,15000.0
15,Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002408,0,no_data,65,Самосвалы CAT 785C,1.0,ДВС,ДВС 3512B №8BR03178,100000009820,03-CTT-CC02,Самосвал №1620,03-CTT-C785,,2017-12-12,2030-01-01,0,component,15000.0
21,Полюс Вернинское,E01_01,Самосвалы карьерные,S01,Узлы. ДВС,960002502,0,no_data,74,Самосвалы Komatsu HD785-7,1.0,ДВС,ДВС SAA12V140E-3B,100000009780,03-CTT-KD01,Самосвал №1609,03-CTT-K787,,2012-10-04,2030-01-01,0,component,15000.0
30,Полюс Вернинское,E01_01,Самосвалы карьерные,S01,Узлы. ДВС,960002502,0,no_data,74,Самосвалы Komatsu HD785-7,1.0,ДВС,ДВС SAA12V140E-3B №506086,100000009781,03-CTT-KD02,Самосвал №1610,03-CTT-K787,,2021-08-22,2030-01-01,0,component,15000.0
35,Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002502,0,no_data,74,Самосвалы Komatsu HD785-7,1.0,ДВС,ДВС SAA12V140E-3B №509606,100000067902,03-CTT-KD03,Самосвал №1611,03-CTT-K787,,2020-11-18,2030-01-01,0,component,15000.0
45,Полюс Вернинское,E01_01,Самосвалы карьерные,S01,Узлы. ДВС,960002502,0,no_data,74,Самосвалы Komatsu HD785-7,1.0,ДВС,ДВС SAA12V140E-3B,100000009791,03-CTT-KD04,Самосвал №1612,03-CTT-K787,,2013-01-30,2030-01-01,0,component,15000.0
55,Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002502,0,no_data,74,Самосвалы Komatsu HD785-7,1.0,ДВС,ДВС SAA12V140E-3B,100000009800,03-CTT-KD05,Самосвал №1613,03-CTT-K787,,2013-02-28,2030-01-01,0,component,15000.0
62,Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002502,0,no_data,74,Самосвалы Komatsu HD785-7,1.0,ДВС,ДВС SAA12V140E-3B №506086,100000009801,03-CTT-KD06,Самосвал №1614,03-CTT-K787,,2013-03-29,2030-01-01,0,component,15000.0
69,Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002502,0,no_data,74,Самосвалы Komatsu HD785-7,1.0,ДВС,ДВС SAA12V140E-3B,100000081172,03-CTT-KD07,Самосвал №1615,03-CTT-K787,,2021-09-18,2030-01-01,0,component,15000.0
73,Полюс Вернинское,E01_01,Самосвалы карьерные,no_data,no_data,960002500,0,no_data,73,Самосвалы Komatsu HD785-5,1.0,ДВС,ДВС SA12V140-1U-A,100000009751,03-CTT-KH01,Самосвал №1601,03-CTT-K785,,2007-07-31,2030-01-01,0,component,15000.0
