,level_1_description,eo_class_code,eo_class_description,constr_type,eo_model_id,eo_model_name,eo_description,teh_mesto,level_upper,sap_operation_status,operation_start_date,operation_finish_date
17519,Полюс Магадан,E06_01,Автогрейдеры,960003706,3,Автогрейдер 16M,Автогрейдер 16M №3,05-ATC-AG04,05-ATC-AVGR,,2022-07-01,2028-07-01
17576,Полюс Магадан,E06_01,Автогрейдеры,960003706,3,Автогрейдер 16M,Автогрейдер 16M №4,05-ATC-AG05,05-ATC-AVGR,,2022-07-01,2028-07-01
17606,Полюс Вернинское,E06_01,Автогрейдеры,960010918,8,Автогрейдер САТ 140М,Автогрейдер САТ 140М №1503,03-KON-0PDT-OS07,03-KON-0PDT-ODRS,,2021-01-01,2030-01-01
17688,Олимпиадинский ГОК,E06_01,Автогрейдеры,960004097,6,Автогрейдер ГС-25,Автогрейдер ГС-25.11 №21,11-RUD-CGTR-SETT-UDST-OS03,11-RUD-CGTR-SETT-UDST-ODRS,СИНХ,2011-10-19,2023-02-28
17689,Олимпиадинский ГОК,E06_01,Автогрейдеры,960003588,5,Автогрейдер 24M,Автогрейдер 24M №24,11-RUD-CGTR-SETT-UDOT-OS04,11-RUD-CGTR-SETT-UDOT-ODRS,СИНХ,2015-03-31,2025-03-31
17690,Олимпиадинский ГОК,E06_01,Автогрейдеры,960004100,7,Автогрейдер ДЗ-98,Автогрейдер ДЗ-98В.00110 №3714,11-RUD-CGTR-SETT-UDOT-OS17,11-RUD-CGTR-SETT-UDOT-ODRS,СИНХ,2015-10-31,2023-12-31
17691,Олимпиадинский ГОК,E06_01,Автогрейдеры,960003706,9,Автогрейдер GD825A-2,Автогрейдер GD825A-2 №26,11-RUD-CGTR-SETT-UDOT-OS06,11-RUD-CGTR-SETT-UDOT-ODRS,СИНХ,2014-10-31,2024-10-31
17692,Олимпиадинский ГОК,E06_01,Автогрейдеры,960003706,9,Автогрейдер GD825A-2,Автогрейдер GD825A-2 №25,11-RUD-CGTR-SETT-UDOT-OS05,11-RUD-CGTR-SETT-UDOT-ODRS,СИНХ,2014-10-31,2024-10-31
17693,Олимпиадинский ГОК,E06_01,Автогрейдеры,960003589,2,Автогрейдер 160M,Автогрейдер 160M №702,11-RUD-CGTR-SETT-UDOT-OS14,11-RUD-CGTR-SETT-UDOT-ODRS,КОНС СИНХ,2017-12-05,2027-12-31
17694,Олимпиадинский ГОК,E06_01,Автогрейдеры,960003589,2,Автогрейдер 160M,Автогрейдер 160M №703,11-RUD-CGTR-SETT-UDOT-OS15,11-RUD-CGTR-SETT-UDOT-ODRS,КОНС СИНХ,2017-12-13,2027-12-31
17695,Олимпиадинский ГОК,E06_01,Автогрейдеры,960003588,5,Автогрейдер 24M,Автогрейдер 24M №704,11-RUD-CGTR-SETT-UDOT-OS16,11-RUD-CGTR-SETT-UDOT-ODRS,СИНХ,2017-12-30,2027-12-31
17696,Олимпиадинский ГОК,E06_01,Автогрейдеры,960004098,7,Автогрейдер ДЗ-98,Автогрейдер ДЗ-98В.61100-010 №3705,11-RUD-CGTR-SETT-UDOT-OS07,11-RUD-CGTR-SETT-UDOT-ODRS,СИНХ,2019-07-31,2022-12-31
17697,Олимпиадинский ГОК,E06_01,Автогрейдеры,960004098,7,Автогрейдер ДЗ-98,Автогрейдер ДЗ-98В.61100-010 №3707,11-RUD-CGTR-SETT-UDOT-OS08,11-RUD-CGTR-SETT-UDOT-ODRS,СИНХ,2019-07-31,2023-04-30
17698,Олимпиадинский ГОК,E06_01,Автогрейдеры,960011063,1,Автогрейдер 160AWD,Автогрейдер 160AWD №3706,11-RUD-CGTR-SETT-UDOT-OS10,11-RUD-CGTR-SETT-UDOT-ODRS,КОНС СИНХ,2021-02-10,2031-02-28
17699,Олимпиадинский ГОК,E06_01,Автогрейдеры,960011063,1,Автогрейдер 160AWD,Автогрейдер 160AWD №3708,11-RUD-CGTR-SETT-UDOT-OS11,11-RUD-CGTR-SETT-UDOT-ODRS,КОНС СИНХ,2021-02-17,2031-02-28
